Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount,Id,Price,User_id,profileName,review/helpfulness,review/score,review/time,review/summary,review/text
Twenty Thousand Leagues Under the Sea,"The year 1866 was signalised by a remarkable incident, a mysterious and puzzling phenomenon, which doubtless no one has yet forgotten. Not to mention rumours which agitated the maritime population and excited the public mind, even in the interior of continents, seafaring men were particularly excited. Merchants, common sailors, captains of vessels, skippers, both of Europe and America, naval officers of all countries, and the Governments of several States on the two continents, were deeply interested in the matter. For some time past vessels had been met by ""an enormous thing,"" a long object, spindle-shaped, occasionally phosphorescent, and infinitely larger and more rapid in its movements than a whale. The facts relating to this apparition (entered in various log-books) agreed in most respects as to the shape of the object or creature in question, the untiring rapidity of its movements, its surprising power of locomotion, and the peculiar life with which it seemed endowed. If it was a whale, it surpassed in size all those hitherto classified in science. Taking into consideration the mean of observations made at divers times—rejecting the timid estimate of those who assigned to this object a length of two hundred feet, equally with the exaggerated opinions which set it down as a mile in width and three in length—we might fairly conclude that this mysterious being surpassed greatly all dimensions admitted by the learned ones of the day, if it existed at all. And that it DID exist was an undeniable fact; and, with that tendency which disposes the human mind in favour of the marvellous, we can understand the excitement produced in the entire world by this supernatural apparition. As to classing it in the list of fables, the idea was out of the question. On the 20th of July, 1866, the steamer Governor Higginson, of the Calcutta and Burnach Steam Navigation Company, had met this moving mass five miles off the east coast of Australia. Captain Baker thought at first that he was in the presence of an unknown sandbank; he even prepared to determine its exact position when two columns of water, projected by the mysterious object, shot with a hissing noise a hundred and fifty feet up into the air. Now, unless the sandbank had been submitted to the intermittent eruption of a geyser, the Governor Higginson had to do neither more nor less than with an aquatic mammal, unknown till then, which threw up from its blow-holes columns of water mixed with air and vapour. Similar facts were observed on the 23rd of July in the same year, in the Pacific Ocean, by the Columbus, of the West India and Pacific Steam Navigation Company. But this extraordinary creature could transport itself from one place to another with surprising velocity; as, in an interval of three days, the Governor Higginson and the Columbus had observed it at two different points of the chart, separated by a distance of more than seven hundred nautical leagues.",['Jules Verne'],http://books.google.com/books/content?id=LGIiDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=LGIiDQAAQBAJ&printsec=frontcover&dq=Twenty+Thousand+Leagues+Under+the+Sea&hl=&cd=1&source=gbs_api,Library of Alexandria,2020-09-28,https://play.google.com/store/books/details?id=LGIiDQAAQBAJ&source=gbs_api,,,B00085H172,,A1PO0PHM9UN82E,Rabbit,6/9,1.0,1287619200,It would have been easier to teach my son French and get the original,"There has GOT to be a better translation out there than this!Here is an excerpt:""The cheaper journals replied keenly and with inexhaustible zest. These satirical writers parodied a remark of Linnaeus, quoted by the adversaries of the monster, maintaining that ""nature did not make fools"", and adjured their contemporaries not to give the lie to nature, by admitting the existence of krakens, sea-serpents, ""Moby Dicks"", and other lucubrations of delirious sailors.""The whole book is written like this. Also, it takes the book a whole page or more just to convey something as simple as ""people were scared"", and it uses obscure vocabulary to do so. I mean, seriously, is ""lucubrations"" the best word the translator could come up with there? It makes me think he does not speak English and was using babelfish online to translate it.However, if you enjoyed reading the excerpt I provided, then by all means go ahead and buy this version of the book."
Twenty Thousand Leagues Under the Sea,"The year 1866 was signalised by a remarkable incident, a mysterious and puzzling phenomenon, which doubtless no one has yet forgotten. Not to mention rumours which agitated the maritime population and excited the public mind, even in the interior of continents, seafaring men were particularly excited. Merchants, common sailors, captains of vessels, skippers, both of Europe and America, naval officers of all countries, and the Governments of several States on the two continents, were deeply interested in the matter. For some time past vessels had been met by ""an enormous thing,"" a long object, spindle-shaped, occasionally phosphorescent, and infinitely larger and more rapid in its movements than a whale. The facts relating to this apparition (entered in various log-books) agreed in most respects as to the shape of the object or creature in question, the untiring rapidity of its movements, its surprising power of locomotion, and the peculiar life with which it seemed endowed. If it was a whale, it surpassed in size all those hitherto classified in science. Taking into consideration the mean of observations made at divers times—rejecting the timid estimate of those who assigned to this object a length of two hundred feet, equally with the exaggerated opinions which set it down as a mile in width and three in length—we might fairly conclude that this mysterious being surpassed greatly all dimensions admitted by the learned ones of the day, if it existed at all. And that it DID exist was an undeniable fact; and, with that tendency which disposes the human mind in favour of the marvellous, we can understand the excitement produced in the entire world by this supernatural apparition. As to classing it in the list of fables, the idea was out of the question. On the 20th of July, 1866, the steamer Governor Higginson, of the Calcutta and Burnach Steam Navigation Company, had met this moving mass five miles off the east coast of Australia. Captain Baker thought at first that he was in the presence of an unknown sandbank; he even prepared to determine its exact position when two columns of water, projected by the mysterious object, shot with a hissing noise a hundred and fifty feet up into the air. Now, unless the sandbank had been submitted to the intermittent eruption of a geyser, the Governor Higginson had to do neither more nor less than with an aquatic mammal, unknown till then, which threw up from its blow-holes columns of water mixed with air and vapour. Similar facts were observed on the 23rd of July in the same year, in the Pacific Ocean, by the Columbus, of the West India and Pacific Steam Navigation Company. But this extraordinary creature could transport itself from one place to another with surprising velocity; as, in an interval of three days, the Governor Higginson and the Columbus had observed it at two different points of the chart, separated by a distance of more than seven hundred nautical leagues.",['Jules Verne'],http://books.google.com/books/content?id=LGIiDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=LGIiDQAAQBAJ&printsec=frontcover&dq=Twenty+Thousand+Leagues+Under+the+Sea&hl=&cd=1&source=gbs_api,Library of Alexandria,2020-09-28,https://play.google.com/store/books/details?id=LGIiDQAAQBAJ&source=gbs_api,,,B000GVE24S,,AEE2GJR0VF6R7,Silo 51,1/1,5.0,978048000,Good,"Author's style is very concise, and each story feels so real, expected things turn out to be unexpected. It was an amazing trip through the globe I have taken in several day. But the book has an ending that's leaving too many questions unanswered, which I would rather it have given me much more explainations. And the book seems to be too plain, old, because it was written such a long time ago, and the author had no intention of making the lines exciting in a way we accept today, and which is also a result of too many unrelated stories been piled together without a common base, basically, the book has pretty much no plot. That's a reason you might consider not buying the book.But I liked the book a lot, I can not understand how can the author write one story after another that just get more and more surprising, and the way he brings out each story. The book can also be a good English teacher, I believe my writing skills have improved."
Twenty Thousand Leagues Under the Sea,"The year 1866 was signalised by a remarkable incident, a mysterious and puzzling phenomenon, which doubtless no one has yet forgotten. Not to mention rumours which agitated the maritime population and excited the public mind, even in the interior of continents, seafaring men were particularly excited. Merchants, common sailors, captains of vessels, skippers, both of Europe and America, naval officers of all countries, and the Governments of several States on the two continents, were deeply interested in the matter. For some time past vessels had been met by ""an enormous thing,"" a long object, spindle-shaped, occasionally phosphorescent, and infinitely larger and more rapid in its movements than a whale. The facts relating to this apparition (entered in various log-books) agreed in most respects as to the shape of the object or creature in question, the untiring rapidity of its movements, its surprising power of locomotion, and the peculiar life with which it seemed endowed. If it was a whale, it surpassed in size all those hitherto classified in science. Taking into consideration the mean of observations made at divers times—rejecting the timid estimate of those who assigned to this object a length of two hundred feet, equally with the exaggerated opinions which set it down as a mile in width and three in length—we might fairly conclude that this mysterious being surpassed greatly all dimensions admitted by the learned ones of the day, if it existed at all. And that it DID exist was an undeniable fact; and, with that tendency which disposes the human mind in favour of the marvellous, we can understand the excitement produced in the entire world by this supernatural apparition. As to classing it in the list of fables, the idea was out of the question. On the 20th of July, 1866, the steamer Governor Higginson, of the Calcutta and Burnach Steam Navigation Company, had met this moving mass five miles off the east coast of Australia. Captain Baker thought at first that he was in the presence of an unknown sandbank; he even prepared to determine its exact position when two columns of water, projected by the mysterious object, shot with a hissing noise a hundred and fifty feet up into the air. Now, unless the sandbank had been submitted to the intermittent eruption of a geyser, the Governor Higginson had to do neither more nor less than with an aquatic mammal, unknown till then, which threw up from its blow-holes columns of water mixed with air and vapour. Similar facts were observed on the 23rd of July in the same year, in the Pacific Ocean, by the Columbus, of the West India and Pacific Steam Navigation Company. But this extraordinary creature could transport itself from one place to another with surprising velocity; as, in an interval of three days, the Governor Higginson and the Columbus had observed it at two different points of the chart, separated by a distance of more than seven hundred nautical leagues.",['Jules Verne'],http://books.google.com/books/content?id=LGIiDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=LGIiDQAAQBAJ&printsec=frontcover&dq=Twenty+Thousand+Leagues+Under+the+Sea&hl=&cd=1&source=gbs_api,Library of Alexandria,2020-09-28,https://play.google.com/store/books/details?id=LGIiDQAAQBAJ&source=gbs_api,,,B000R4SOGG,,A23HT0TNSY6LZP,comet1,0/1,5.0,1294617600,great book,"im not much of a reader and to be perfectly honest i only read this book at my wife's request. once i started this book i had a verry hard time putting it down. great and verry entertaining throughout, deffenatally a must read."
Timepool (Time Passages Romance Series),"Caladonia Hornsby, who claims to have traveled through time, desperately needs the help of undercover agent Requiem Maguire, who is being hunted down by a ruthless killer. Original.",['Susan Plunkett'],http://books.google.com/books/content?id=ScQAAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=ScQAAAAACAAJ&dq=Timepool+(Time+Passages+Romance+Series)&hl=&cd=1&source=gbs_api,Jove Publications,1999,http://books.google.com/books?id=ScQAAAAACAAJ&dq=Timepool+(Time+Passages+Romance+Series)&hl=&source=gbs_api,['Fiction'],,0515125539,,A3HM2RIU8O3B1E,"M. Pavalock ""mpavsweet""",2/3,2.0,967680000,I hated it!,"It was so boring, I couldn't even finish it!"
The Psychology Of Everyday Things,"Even the smartest among us can feel inept as we fail to figure out which light switch or oven burner to turn on, or whether to push, pull, or slide a door. The fault, argues this ingenious—even liberating—book, lies not in ourselves, but in product design that ignores the needs of users and the principles of cognitive psychology. The problems range from ambiguous and hidden controls to arbitrary relationships between controls and functions, coupled with a lack of feedback or other assistance and unreasonable demands on memorization. The Design of Everyday Things shows that good, usable design is possible. The rules are simple: make things visible, exploit natural relationships that couple function and control, and make intelligent use of constraints. The goal: guide the user effortlessly to the right action on the right control at the right time. In this entertaining and insightful analysis, cognitive scientist Don Norman hails excellence of design as the most important key to regaining the competitive edge in influencing consumer behavior. Now fully expanded and updated, with a new introduction by the author, The Design of Everyday Things is a powerful primer on how—and why—some products satisfy customers while others only frustrate them.",['Don Norman'],http://books.google.com/books/content?id=qBfRDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=qBfRDQAAQBAJ&pg=PP1&dq=The+Psychology+Of+Everyday+Things&hl=&cd=1&source=gbs_api,Basic Books (AZ),2013-11-05,http://books.google.com/books?id=qBfRDQAAQBAJ&dq=The+Psychology+Of+Everyday+Things&hl=&source=gbs_api,['Business & Economics'],38.0,0465067093,26.96,AZD6DGC338YX7,"Delikiz ""Delikiz""",0/0,5.0,1018310400,Even today...,This book is a must read for everybody and anybody who wants to get into the design end of things.Should even be a mandatory read for most Product Managers!It has definitely openned up my mind and gave me very good pointers.
Ageless: The Naked Truth About Bioidentical Hormones,"A companion volume to The Sexy Years explains how to take charge of the aging process, introducing a medically proven approach designed to restore vigor, sexual desire, and creative thinking, while enhancing the body's natural defenses against age-related ailments. Reprint. 200,000 first printing.",['Suzanne Somers'],http://books.google.com/books/content?id=huQ48RainaUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=huQ48RainaUC&printsec=frontcover&dq=Ageless:+The+Naked+Truth+About+Bioidentical+Hormones&hl=&cd=1&source=gbs_api,Harmony,2007-12,http://books.google.com/books?id=huQ48RainaUC&dq=Ageless:+The+Naked+Truth+About+Bioidentical+Hormones&hl=&source=gbs_api,['Health & Fitness'],8.0,B000JMKVG2,,A2G7OQHFIDEVN7,K. Malcher,2/2,5.0,1219190400,Transform Your Life,"There is nothing better than a woman who undertakes a journey, then shares her experience with others. No matter how knowledgeable and/or articulate your doctor is regarding the need for-and affects of-hormone therapy, the trials and triumphs of Suzanne Somers encourages the reader to believe that, she too, can navigate this passage successfully. Whether you are a Suzanne Somers fan or not, her book is aimed at the enormous population of female baby boomers walking into an often misunderstood and misrepresented time of life. Suzanne's passion for living, intelligent writing style, and easy to follow instructions makes this book a 'must have' for any woman interested in maintaining her physical, sexual and emotional health. I continue to give this book to friends, and enjoy knowing that I'm giving a gift that can, literally, transform their lives."
Ageless: The Naked Truth About Bioidentical Hormones,"A companion volume to The Sexy Years explains how to take charge of the aging process, introducing a medically proven approach designed to restore vigor, sexual desire, and creative thinking, while enhancing the body's natural defenses against age-related ailments. Reprint. 200,000 first printing.",['Suzanne Somers'],http://books.google.com/books/content?id=huQ48RainaUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=huQ48RainaUC&printsec=frontcover&dq=Ageless:+The+Naked+Truth+About+Bioidentical+Hormones&hl=&cd=1&source=gbs_api,Harmony,2007-12,http://books.google.com/books?id=huQ48RainaUC&dq=Ageless:+The+Naked+Truth+About+Bioidentical+Hormones&hl=&source=gbs_api,['Health & Fitness'],8.0,B000JMKVG2,,A1Z2WTMRZ8XYA,T. York,0/0,4.0,1341792000,Geared towards women,"The book is definitely geared towards women,which is ok. But as a male I probably wouldnt have picked up this one if the title were ""Ageless: The Naked Truth About Women & Bioidentical Hormones""...which I think is a more correct title. However I gave it 4 stars because it does have some very good info in it and I think females should take heed."
"The Clue of the Broken Locket (Nancy Drew, Book 11)","When Nancy Drew and her friends arrive at Misty Lake, they meet pretty, red-haired Cecily Curtis, who seeks Nancy’s help in solving two mysteries. One concerns Cecily’s fiancé, Niko Van Dyke, a popular singer who believes that his record company is cheating him of royalty payments. The other invovles a family treasure hidden before the start of the Civil War; Cecily’s only clue is half of a gold locket. Nancy’s investigations lead her to Pudding Stone Lodge, where the sinister Driscoll family lives. Strange coincidences give Nancy plenty of opportunity to test her sleuthing skills. Braving a series of dangerous situations and discouraging developments, the alert young detective perseveres in her attempts to solve both mysteries and reveal the astounding secrets of Pudding Stone Lodge.",['Carolyn Keene'],http://books.google.com/books/content?id=0WzYHwRc5pYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=0WzYHwRc5pYC&printsec=frontcover&dq=The+Clue+of+the+Broken+Locket+(Nancy+Drew,+Book+11)&hl=&cd=1&source=gbs_api",Penguin,1943-10-01,https://play.google.com/store/books/details?id=0WzYHwRc5pYC&source=gbs_api,['Juvenile Fiction'],1.0,B000KP1OPU,,,,0/2,5.0,1075852800,Everyone should be crazy for Nancy Drew!!,"The clue of the Broken Locket is a great book. With finding a strange ""iron bird"" to finding a half-locket in a rowboat, Nancy Drew is at it again! Solveing her scary cases, Nancy and her friends, Bess and George, are in for a dangerous case. I hope everyone who reads this book enjoys it. I LOVE,LOVE Nancy Drew Books. Caroyln Keene is a great author. Without Nancy, I would be lost. ""The clue of the Broken Locket"" is a very good book. No one could put it down!"
Diving Science,"Written by two experts in diving physiology and medicine, this comprehensive resource will help you manage each stage of a dive more safely and successfully. Whether you're on the surface or bottom, in the descent or ascent, you'll know exactly what to do and when to do it. With information on everything from on-gassing and off-gassing to first response interventions for medical problems, Diving Science is as essential as a wetsuit for your next dive.","['Michael B. Strauss', 'Igor V. Aksenov']",http://books.google.com/books/content?id=dWWS_fmqH18C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=dWWS_fmqH18C&printsec=frontcover&dq=Diving+Science&hl=&cd=1&source=gbs_api,Human Kinetics,2004,http://books.google.com/books?id=dWWS_fmqH18C&dq=Diving+Science&hl=&source=gbs_api,['Sports & Recreation'],3.0,0736048308,21.86,AL4I18JO0VC18,Kirk C. Colon,0/0,5.0,1355270400,Diving Science,Be ready for that dive emergency that nobody sees coming. Belive me when I say it's coming sooner than you think.
Fallen Angels,,,,,,,,,,0007176430,,A2F540P3L6P5CL,Misfit,3/3,4.0,1163894400,Very nice follow up to A Crowning Mercy,"Lots of action, evil villains and star crossed lovers. This author doesn't pull punches, people stink, sweat and die in the most horrible ways. Lots of red herrings to throw you off the path trying to figure who really is a good guy and who the real baddies are. I guessed the biggest one about 1/2 through the book, but I was still never 100% of my guess until the last pages."
Gettysburg: A Journey in Time,,,,,,,,,,0684146967,,,,6/6,5.0,1072310400,FASCINATING,this is a fascinating book for both civil war buffs and those interested in early photography. frassanito is an excellent writer and his detective work is unbelievably thorough. i can't recommend this book enough!
Divine Evil (Random House Large Print),"In this gripping novel of small-town scandal and sizzling passion, New York Times bestselling author Nora Roberts tells the story of a renowned artist who confronts a mystery from her past—and finds that her family secrets have not been laid to rest. Famed sculptor Clare Kimball has commanded the attention of the New York art world, but troubling memories from childhood have drawn her home to Maryland, to the town where she grew up and where her father died so long ago in circumstances never really explained. Nothing much has changed in Emmitsboro—except Cameron Rafferty, the onetime high-school bad boy turned town sheriff. The only hint of Cam’s wild nature is the light in his eyes when he looks at Clare. In Cam’s strong arms Clare is seduced into falling in love—and into believing that her small-town world is safe. But within the dark woods of Emmitsboro, something evil is spreading its poisonous power. Now Clare must pay the price for digging up the secrets of the past . . . and confront an evil that may be unstoppable—because those who practice it believe it is divine.",['Nora Roberts'],http://books.google.com/books/content?id=QIiEUQYYXDkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=QIiEUQYYXDkC&printsec=frontcover&dq=Divine+Evil+(Random+House+Large+Print)&hl=&cd=1&source=gbs_api,Bantam,2009-07-22,https://play.google.com/store/books/details?id=QIiEUQYYXDkC&source=gbs_api,['Fiction'],17.0,0375433775,,AB9DSDX6G5R2E,Abby Goldsmith,2/6,1.0,1168387200,This book made me stupider,"I love genre fiction, but I usually avoid the Romance genre because of its cliches. Maybe Nora Roberts fans will like this book. John Saul fans might also like it. Personally, I found everything about it to be simplistic and downright idiotic.The bad guys--Satan worshippers--fill every cliche and leave nothing original. They even call for Jesus when they die from stupidity. The main character, Clare, is a modest, rich, supermodel artist. Very realistic. The love interest, Cam, is a modest, rich, supermodel sheriff. Uh huh. Their chemistry together is a series of cliches taken from 80s movies. You know, I'm all for a dash of romance in a book, but please make it believable. I feel as if Nora Roberts is following a formula that made her successful long ago, in the 1970s or 80s, and no longer works for people who pay attention to modern TV, film, and books."
Dark Guardian,,,,,,,,,,1596074191,,A3I30GP4ZTCJOP,"C. DeMario ""crystalg75""",4/9,2.0,1077926400,Slightly repetitious,"&quot;Dark Guardian&quot; is the story of twin Julian and his desire to find his lifemate before he succumbs to the dark in his soul that he has been keeping at bay for his brother's sake.Still filled with steamy scenes; this book left me unfulfilled. The ending was anti-climatic. What is supposed to be a major setup for justice was fizzled out. The issue could have been addressed much earlier; instead of stringing along the reader. As the reader I anticipated much more to the face-off between Julian and Jaxx's stepfather and was bitterly disappointed.My biggest irk was the domineering ways of Julian in &quot;converting&quot; Jaxx. For an incredibly independent and strong (both physically and mentally) woman, she capitulated rather easily. No major histronics or displays of anger. The character of Jaxx could have been done so much better. Instead it left me wanting more.It must be tough for an author to continue to make the storylines fresh and interesting for the reader. How many ways can a Carpathian meet his lifemate and bond her? With this book it seems she has run out of the ways. Since I have gone this far in the series I have purchased the next one and hope it redeems it self. On the bright side it can't be much worse than this one."
Dark Guardian,,,,,,,,,,1596074191,,A3D8LXFOEG85KA,sofia,0/0,5.0,1319155200,The Carpathians world,The all dark series by the Christine Feehan is introducing the amazing world of the Carpathian people. One of the best book is the Dark Guardian which is full with struggle with vampires but also with tender emotions and love.
The Abolition of Man,,,,,,,,,,B000KXCJYM,,A1P0ZB4YAA312R,Wesley L. Janssen,14/15,5.0,1043107200,The intellectual bankruptcy of ethical relativism.,"The book contains three closely related essays on ethical relativism. As different as Eastern philosophy (Chinese and Indian) may be from Western philosophy (Greco-Roman and Judeo-Christian), all seriously reasoned and internally consistent systems of ethics (i.e., morality) accept the true existence of an absolute Good. In The Abolition of Man, C.S. Lewis, a thinker deeply versed in philosophy, philology, and ancient literature, calls this universal ethical reference system 'the Tao' (borrowing a generalization from Confucius). He exposes the logical self-contradictions and the human negation of modern dogmas of moral relativism.From 'Men without Chests': ""The task of the modern educator is not to cut down jungles but to irrigate deserts. The right defense against false sentiments is to inculcate just sentiments. By starving the sensibility of [students] we only make them easier prey to the propagandist ... a hard heart is no infallible protection against a soft head.""From 'The Way': ""An open mind, in questions that are not ultimate, is useful. But an open mind about the ultimate foundations either of Theoretical or of Practical Reason is idiocy. If a man's mind is open on these things, let his mouth at least be shut.""From 'The Abolition of Man': ""It is not that [propagandists of ethical relativism] are bad men. They are not men at all. Stepping outside of the Tao, they have stepped into the void. Nor are their subjects necessarily unhappy men. They are not men at all: they are artifacts. Man's final conquest has proven to be the abolition of Man.""We accept relativism in modern physics because reason has led us to it. But popularized ideas of relativism in ethics, while sometimes transparently parading as 'intellectualism' (this label attempts to discourage critical examination), must take a course which leads far from consistent logic, and which ultimately turns against itself. This book is an outstanding offering from the wonderful mind of C.S. Lewis."
The Abolition of Man,,,,,,,,,,B000IBKZBU,,A3MSB482DIB9SL,"David Zampino ""21st Century Hobbit""",10/11,5.0,977270400,Words of wisdom too often ignored,"If you are a parent, and worry about the decline of the quality of education in today's society, you must read &quot;The Abolition of Man&quot;. Written 50 years ago, and eerily prophetic, CS Lewis railed against the dumbing down of education in the British school systems, from an academic standpoint, but more importantly, from the standpoint of morality and values.As is evidenced in his other non-fiction (Mere Christianity, for example) Lewis was a believer in the doctrine of Natural Law (held by Catholics and many Protestants). This doctrine recognizes that since man was created in the image of God, traces of that image still remains. The Fall of Man severely damaged the image of God in man, but did not totally destroy it. Thus, throughout human history, integral values systems still maintain cetain laws, customs, beliefs, etc. which cross beyond religious and philosophical boundaries, and are, for the most part, common to all.This is an example of Natural Law at work -- and this is precisely what the secular education structures, both in Lewis' day, and even more so today, wish to utterly destroy, and replace with the nonsensical notion of a society in which there is no foundational morality; no foundational &quot;right&quot; or &quot;wrong&quot;. Lewis saw it happening half a century ago -- and people did not listen. The case is even more grave today. Will people listen today?"
The Abolition of Man,,,,,,,,,,B000KXCJYM,,A3D298VI1IRQJZ,hannahf,0/2,3.0,1287964800,what is our nature?,"Lewis provides much food for thought, and I agree that he is prophetic in many ways. However, I object to his continual use of human ""nature"" as synonymous with selfish desires. Human beings have always been social creatures, and our survival depends not just on satisfying individual drives but also working together and caring for each other. This could be why some form of the Golden Rule is found throughout the world's cultures. Whereas Lewis personally ascribes the origin of morality to God, or at least an abstract Tao, in fact kindness, compassion, truthfulness, etc. may have evolved as a keys to our survival.Even ants are hard-working, cooperative, solicitous of their young, protective of their Queen, defensive of the colony, and self-sacrificing. Why do we need to ascribe these characteristics to only spiritual creatures?"
Redefining Health Care: Creating Value-Based Competition on Results,"The U.S. health care system is in crisis. At stake are the quality of care for millions of Americans and the financial well-being of individuals and employers squeezed by skyrocketing premiums-not to mention the stability of state and federal government budgets. In Redefining Health Care, internationally renowned strategy expert Michael Porter and innovation expert Elizabeth Teisberg reveal the underlying-and largely overlooked-causes of the problem, and provide a powerful prescription for change. The authors argue that participants in the health care system have competed to shift costs, accumulate bargaining power, and restrict services, rather than create value for patients. This zero-sum competition takes place at the wrong level-among health plans, networks, and hospitals-rather than where it matters most, in the diagnosis, treatment, and prevention of specific health conditions. Redefining Health Care lays out a breakthrough framework for redefining health care competition based on patient value. With specific recommendations for hospitals, doctors, health plans, employers, and policy makers, this book shows how to move to a positive-sum competition that will unleash stunning improvements in quality and efficiency.","['Michael E. Porter', 'Elizabeth Olmsted Teisberg']",http://books.google.com/books/content?id=Kp5fCkAzzS8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=Kp5fCkAzzS8C&printsec=frontcover&dq=Redefining+Health+Care:+Creating+Value-Based+Competition+on+Results&hl=&cd=1&source=gbs_api,Harvard Business Press,2006,http://books.google.com/books?id=Kp5fCkAzzS8C&dq=Redefining+Health+Care:+Creating+Value-Based+Competition+on+Results&hl=&source=gbs_api,['Business & Economics'],5.0,1591397782,24.01,A2Y14Q88A67UDS,"Eduard Poliak ""Health care consultant""",6/15,5.0,1148169600,Redefining Health Care - amazing work,"Redefining Health Care is a fascinating book by the strategic guru Michael Porter and Elizabeth Teisberg addressing one of the most important issues health care is facing worldwide, ""direction"".Value driven health care competition is a unifying win-win direction in which every player would have to redesign its practices, tasks and responsibilities.This revolutionary concept brings enterprising spirit into the stalling health care sector."
Orality and Literacy: The Technologizing of the Word (New Accents),,,,,,,,,,B000OT81RG,,A389GIGTF53E8V,Jeff,0/0,5.0,1349568000,An Entry Point for Further Research,"For those reviewers who found this book less than commendable: you need to broaden your horizons.For me, Ong's book was an introduction into the way societies accumulate and pass on knowledge. Ong concentrates on the idea that the invention of the alphabet radically re-structured human consciousness and was responsible for the current dominance of the materialistic Western world view. Ong was a member of the Toronto School (which included Goody and McLuhan) and that school favored a strongly deterministic view. Others, including Ruth Finnegan, are more balanced. If you want to be challenged in your views of how human societies work, I highly recommend reading this book. However, I would also encourage you to explore further - oral societies are much more complex than a superficial reading of Ong would lead you to believe. Ong has a tendency to think that Western thought is the pinnacle of human achievement, but don't let that stop you from reading his work. If you hold in your mind, while reading the book, that there are other ways of passing on knowledge than alphabetic writing systems, you will be rewarded by Ong's insights. This book was written in 1982, so in some respects, it is a bit dated - there has been quite a lot of scholarly effort devoted to the field since then. If you are interested in exploring further, I would suggest that you start with Ong's excellent bibliography and look up each author on the Internet and follow those leads. You will soon find yourself in a thicket of semiotics, performance, intersubjectivity, oral tradition, and indigenous memory systems, among other topics. Ong was a brilliant scholar and I cannot recommend this book highly enough. It is a rather brief overview, but if you are willing to do some work, it is an excellent starting point for further research."
Paul Simon: A Bio-Bibliography (Bio-Bibliographies in Music),"Provides a comprehensive bibliography of American singer and songwriter Paul Simon, including a brief biography and discography, filmography, and videography.",['James E. Perone'],http://books.google.com/books/content?id=GykKAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=GykKAQAAMAAJ&dq=Paul+Simon:+A+Bio-Bibliography+(Bio-Bibliographies+in+Music)&hl=&cd=1&source=gbs_api,Greenwood,2000,http://books.google.com/books?id=GykKAQAAMAAJ&dq=Paul+Simon:+A+Bio-Bibliography+(Bio-Bibliographies+in+Music)&hl=&source=gbs_api,['Biography & Autobiography'],,0313310165,103.95,,,5/7,1.0,953683200,Money for nothing,In a nutshell this is a very expensive 11 page biography followd by almost 200 hundred pages of bibliography. The biography has nothing that is not well know to Simon's fans. The bibliography can be gotten for a lot less money with a good search engine. Even with a casual glance at the bibliography ommisions were apparent.
